Article author,Comments,Barrier/enabler,Domain,CFIR Construct 1
"Bassilios, 2014","Project officers from Divisions where a provider was not interviewed indicated that there was low, if any, uptake of the T-CBT pilot. Low uptake was reported to be associated with the types of challenges mentioned above and others including: most clients opting to have face-to-face sessions even if required to travel long distances, staff turnover (of project officers and T-CBT-trained   mental   health   professionals), Division management issues, the need for increased marketing, and the lack of availability of further training for new mental health professionals.",Barrier,Inner setting,A3. Work Infrastructure
"Bassilios, 2014","Project officers from Divisions where a provider was not interviewed indicated that there was low, if any, uptake of the T-CBT pilot. Low uptake was reported to be associated with the types of challenges mentioned above and others including: most clients opting to have face-to-face sessions even if required to travel long distances, staff turnover (of project officers and T-CBT-trained   mental   health   professionals), Division management issues, the need for increased marketing, and the lack of availability of further training for new mental health professionals.",Barrier,Inner setting,K. Access to Knowledge & Information
"Bassilios, 2014","Project officers from Divisions where a provider was not interviewed indicated that there was low, if any, uptake of the T-CBT pilot. Low uptake was reported to be associated with the types of challenges mentioned above and others including: most clients opting to have face-to-face sessions even if required to travel long distances, staff turnover (of project officers and T-CBT-trained   mental   health   professionals), Division management issues, the need for increased marketing, and the lack of availability of further training for new mental health professionals.",Barrier,Inner setting,B. Relational Connections
"Bassilios, 2014","Project officers from Divisions where a provider was not interviewed indicated that there was low, if any, uptake of the T-CBT pilot. Low uptake was reported to be associated with the types of challenges mentioned above and others including: most clients opting to have face-to-face sessions even if required to travel long distances, staff turnover (of project officers and T-CBT-trained   mental   health   professionals), Division management issues, the need for increased marketing, and the lack of availability of further training for new mental health professionals.",Barrier,Innovation,C. Innovation Relative Advantage
"Bassilios, 2014","Project officers from Divisions where a provider was not interviewed indicated that there was low, if any, uptake of the T-CBT pilot. Low uptake was reported to be associated with the types of challenges mentioned above and others including: most clients opting to have face-to-face sessions even if required to travel long distances, staff turnover (of project officers and T-CBT-trained   mental   health   professionals), Division management issues, the need for increased marketing, and the lack of availability of further training for new mental health professionals.",Barrier,Innovation,Preference
"Bassilios, 2014","Project officers from Divisions where a provider was not interviewed indicated that there was low, if any, uptake of the T-CBT pilot. Low uptake was reported to be associated with the types of challenges mentioned above and others including: most clients opting to have face-to-face sessions even if required to travel long distances, staff turnover (of project officers and T-CBT-trained   mental   health   professionals), Division management issues, the need for increased marketing, and the lack of availability of further training for new mental health professionals.",Barrier,Outer setting,G2. Market Pressure
"Bassilios, 2014",Three mental health professionals reported as beneficial the ability to service rural or remote areas and provide a greater continuity of service to consumers in these areas who 'wouldnâ€™t be seen otherwiseâ€™ due to access issues. ,Enabler,Innovation,Accessibility
"Bassilios, 2014","The ability to offer high-need consumers telephone contact was also perceived positively by two mental health professionals, with one professional stating: â€˜itâ€™s certainly beneficial for those who canâ€™t or donâ€™t want to attend face-to-faceâ€™. ",Enabler,Innovation,Choice
"Bassilios, 2014","The ability to offer high-need consumers telephone contact was also perceived positively by two mental health professionals, with one professional stating: â€˜itâ€™s certainly beneficial for those who canâ€™t or donâ€™t want to attend face-to-faceâ€™. ",Enabler,Innovation,Preference
"Bassilios, 2014","The ability to offer high-need consumers telephone contact was also perceived positively by two mental health professionals, with one professional stating: â€˜itâ€™s certainly beneficial for those who canâ€™t or donâ€™t want to attend face-to-faceâ€™. ",Enabler,Innovation,Accessibility
